損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
*     6114413  事業-教育厚生費, ,284.00, , ,284.00, ,273.67,284.00,96.36,*     6114413  事業-教育厚生費, ,284.00, ,218.58,284.00,76.96,273.69,284.00,96.37,*     6114413  事業-教育厚生費, , , , , , , , , ,*     6114413  事業-教育厚生費, , , , , , , , , 
      CNY  中国元, ,284.00, , ,284.00, ,273.67,284.00,96.36,      CNY  中国元, ,284.00, ,218.58,284.00,76.96,273.69,284.00,96.37,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    旅費交通費(事業),"6,023.00","10,087.00",59.71,"15,360.27","11,937.00",128.68,"9,368.90","12,087.00",77.51,**    旅費交通費(事業),"12,508.99","20,457.00",61.15,"18,486.80","12,087.00",152.95,"20,849.54","10,087.00",206.70,**    旅費交通費(事業),"14,657.00", , ,"6,889.00", , ,"3,342.00", , ,**    旅費交通費(事業), , , , , , , , , 
*     6114601  事業-国内出張旅費,"2,610.00","2,187.00",119.34,"1,756.50","2,187.00",80.32,"4,198.90","2,187.00",191.99,*     6114601  事業-国内出張旅費,"4,430.60","2,187.00",202.59,"9,473.80","2,187.00",433.19,"12,537.00","2,187.00",573.25,*     6114601  事業-国内出張旅費,"10,150.00", , ,"6,889.00", , ,"3,342.00", , ,*     6114601  事業-国内出張旅費, , , , , , , , , 
      CNY  中国元,"2,610.00","2,187.00",119.34,"1,756.50","2,187.00",80.32,"4,198.90","2,187.00",191.99,      CNY  中国元,"4,430.60","2,187.00",202.59,"9,473.80","2,187.00",433.19,"12,537.00","2,187.00",573.25,      CNY  中国元,"10,150.00", , ,"6,889.00", , ,"3,342.00", , ,      CNY  中国元, , , , , , , , , 
*     6114602  事業-海外出張旅費, , , ,"4,222.77","1,850.00",228.26, ,"2,000.00", ,*     6114602  事業-海外出張旅費,"1,431.39","10,370.00",13.80,"1,320.00","2,000.00",66.00,"1,847.54", , ,*     6114602  事業-海外出張旅費,759.00, , , , , , , , ,*     6114602  事業-海外出張旅費, , , , , , , , , 
      CNY  中国元, , , ,"4,222.77","1,850.00",228.26, ,"2,000.00", ,      CNY  中国元,"1,431.39","10,370.00",13.80,"1,320.00","2,000.00",66.00,"1,847.54", , ,      CNY  中国元,759.00, , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114603  事業-外出交通費,"2,130.00","2,580.00",82.56,"2,615.00","2,580.00",101.36,"2,344.00","2,580.00",90.85,*     6114603  事業-外出交通費,525.00,"2,580.00",20.35,"3,907.00","2,580.00",151.43,"2,375.00","2,580.00",92.05,*     6114603  事業-外出交通費,"1,220.00", , , , , , , , ,*     6114603  事業-外出交通費, , , , , , , , , 
      CNY  中国元,"2,130.00","2,580.00",82.56,"2,615.00","2,580.00",101.36,"2,344.00","2,580.00",90.85,      CNY  中国元,525.00,"2,580.00",20.35,"3,907.00","2,580.00",151.43,"2,375.00","2,580.00",92.05,      CNY  中国元,"1,220.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤,"1,283.00","5,320.00",24.12,"6,766.00","5,320.00",127.18,"2,826.00","5,320.00",53.12,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤,"6,122.00","5,320.00",115.08,"3,786.00","5,320.00",71.17,"4,090.00","5,320.00",76.88,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤,"2,528.00", , , , , , , , ,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤, , , , , , , , , 
      CNY  中国元,"1,283.00","5,320.00",24.12,"6,766.00","5,320.00",127.18,"2,826.00","5,320.00",53.12,      CNY  中国元,"6,122.00","5,320.00",115.08,"3,786.00","5,320.00",71.17,"4,090.00","5,320.00",76.88,      CNY  中国元,"2,528.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    乗務旅費(事業), ,"57,600.00", , ,"59,520.00", , ,"57,600.00", ,**    乗務旅費(事業), ,"59,520.00", , ,"59,520.00", , ,"57,600.00", ,**    乗務旅費(事業), , , , , , , , , ,**    乗務旅費(事業), , , , , , , , , 
*     6114706  事業-運航宿泊室料, ,"57,600.00", , ,"59,520.00", , ,"57,600.00", ,*     6114706  事業-運航宿泊室料, ,"59,520.00", , ,"59,520.00", , ,"57,600.00", ,*     6114706  事業-運航宿泊室料, , , , , , , , , ,*     6114706  事業-運航宿泊室料, , , , , , , , , 
      CNY  中国元, ,"57,600.00", , ,"59,520.00", , ,"57,600.00", ,      CNY  中国元, ,"59,520.00", , ,"59,520.00", , ,"57,600.00", ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    通信費(事業),"10,255.00","19,508.00",52.57,"9,611.80","19,508.00",49.27,"10,364.00","19,508.00",53.13,**    通信費(事業),"8,688.40","19,508.00",44.54,"5,341.50","19,508.00",27.38,"10,432.90","19,508.00",53.48,**    通信費(事業),"6,998.30", , , , , , , , ,**    通信費(事業), , , , , , , , , 
*     6114801  事業-通信費,"10,255.00","19,508.00",52.57,"9,611.80","19,508.00",49.27,"10,364.00","19,508.00",53.13,*     6114801  事業-通信費,"8,688.40","19,508.00",44.54,"5,341.50","19,508.00",27.38,"10,432.90","19,508.00",53.48,*     6114801  事業-通信費,"6,998.30", , , , , , , , ,*     6114801  事業-通信費, , , , , , , , , 
      CNY  中国元,"10,255.00","19,508.00",52.57,"9,611.80","19,508.00",49.27,"10,364.00","19,508.00",53.13,      CNY  中国元,"8,688.40","19,508.00",44.54,"5,341.50","19,508.00",27.38,"10,432.90","19,508.00",53.48,      CNY  中国元,"6,998.30", , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    一般消耗品費(事業),"2,092.90","5,304.00",39.46,"2,467.30","5,304.00",46.52,"2,447.33","5,304.00",46.14,**    一般消耗品費(事業),"69,031.67","5,304.00","1,301.50","-62,693.57","5,304.00","-1,182.01","11,060.90","5,304.00",208.54,**    一般消耗品費(事業),"2,300.67", , , , , , , , ,**    一般消耗品費(事業), , , , , , , , , 
*     6114901  事業-一般消耗品費,"2,092.90","3,804.00",55.02,"2,467.30","3,804.00",64.86,"2,447.33","3,804.00",64.34,*     6114901  事業-一般消耗品費,"69,031.67","3,804.00","1,814.71","-62,693.57","3,804.00","-1,648.10","6,240.00","3,804.00",164.04,*     6114901  事業-一般消耗品費,"2,300.67", , , , , , , , ,*     6114901  事業-一般消耗品費, , , , , , , , , 
      CNY  中国元,"2,092.90","3,804.00",55.02,"2,467.30","3,804.00",64.86,"2,447.33","3,804.00",64.34,      CNY  中国元,"69,031.67","3,804.00","1,814.71","-62,693.57","3,804.00","-1,648.10","6,240.00","3,804.00",164.04,      CNY  中国元,"2,300.67", , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, ,"1,500.00", , ,"1,500.00", , ,"1,500.00", ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, ,"1,500.00", , ,"1,500.00", ,"4,820.90","1,500.00",321.39,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, , , , , , , , , ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, , , , , , , , , 
      CNY  中国元, ,"1,500.00", , ,"1,500.00", , ,"1,500.00", ,      CNY  中国元, ,"1,500.00", , ,"1,500.00", ,"4,820.90","1,500.00",321.39,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    補修維持費(事業), ,"1,934.00", , ,"1,934.00", , ,"1,934.00", ,**    補修維持費(事業), ,"1,934.00", ,518.00,"1,934.00",26.78,918.00,"1,934.00",47.47,**    補修維持費(事業),"1,090.00", , , , , , , , ,**    補修維持費(事業), , , , , , , , , 
*     6115001  事業-補修維持費, ,334.00, , ,334.00, , ,334.00, ,*     6115001  事業-補修維持費, ,334.00, , ,334.00, , ,334.00, ,*     6115001  事業-補修維持費, , , , , , , , , ,*     6115001  事業-補修維持費, , , , , , , , , 
