損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,1600 , ,1561 ,1600 ,98 ,1498 ,1600 ,94 ,      CNY  中国元, ,1600 , , ,1600 , , ,1600 , 
**    租税公課(事業), , , , , , , , , ,**    租税公課(事業), , , , , , , , , ,**    租税公課(事業), ,677 , ,120 ,677 ,18 ,20 ,677 ,3 ,**    租税公課(事業), ,677 , , ,677 , , ,2477 , 
*     6115305  事業-登録免許税, , , , , , , , , ,*     6115305  事業-登録免許税, , , , , , , , , ,*     6115305  事業-登録免許税, ,677 , ,120 ,677 ,18 ,20 ,677 ,3 ,*     6115305  事業-登録免許税, ,677 , , ,677 , , ,2477 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,677 , ,120 ,677 ,18 ,20 ,677 ,3 ,      CNY  中国元, ,677 , , ,677 , , ,2477 , 
**    教育訓練費(事業),, ,,, ,,, ,,**    教育訓練費(事業),, ,,, ,,, ,,**    教育訓練費(事業),, ,,, ,,, ,,**    教育訓練費(事業),, ,,, ,,, ,
*     6115501  事業-教育訓練費,, ,,, ,,, ,,*     6115501  事業-教育訓練費,, ,,, ,,, ,,*     6115501  事業-教育訓練費,, ,,, ,,, ,,*     6115501  事業-教育訓練費,, ,,, ,,, ,
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , ,87 , , ,      CNY  中国元, , , , , , , , , 
      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , ,1500 , , ,      JPY  日本円, , , , , , , , , 
**    会議費(事業), , , , , , , , , ,**    会議費(事業), , , , , , , , , ,**    会議費(事業), ,900 , , ,900 , , ,900 , ,**    会議費(事業), ,900 , , ,900 , , ,900 , 
*     6115701  事業-会議費, , , , , , , , , ,*     6115701  事業-会議費, , , , , , , , , ,*     6115701  事業-会議費, ,700 , , ,700 , , ,700 , ,*     6115701  事業-会議費, ,700 , , ,700 , , ,700 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,700 , , ,700 , , ,700 , ,      CNY  中国元, ,700 , , ,700 , , ,700 , 
*     6115702  事業-会議場使用費, , , , , , , , , ,*     6115702  事業-会議場使用費, , , , , , , , , ,*     6115702  事業-会議場使用費, ,200 , , ,200 , , ,200 , ,*     6115702  事業-会議場使用費, ,200 , , ,200 , , ,200 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,200 , , ,200 , , ,200 , ,      CNY  中国元, ,200 , , ,200 , , ,200 , 
**    交際費(事業), , , , , , , , , ,**    交際費(事業), , , , , , , , , ,**    交際費(事業), ,750 , ,1119 ,750 ,149 , ,750 , ,**    交際費(事業), ,750 , , ,750 , , ,750 , 
*     6115801  事業-交際費, , , , , , , , , ,*     6115801  事業-交際費, , , , , , , , , ,*     6115801  事業-交際費, ,750 , ,1119 ,750 ,149 , ,750 , ,*     6115801  事業-交際費, ,750 , , ,750 , , ,750 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,750 , ,1119 ,750 ,149 , ,750 , ,      CNY  中国元, ,750 , , ,750 , , ,750 , 
**    保守管理費(事業), , , , , , , , , ,**    保守管理費(事業), , , , , , , , , ,**    保守管理費(事業), ,1900 , ,5700 ,1900 ,300 , ,2200 , ,**    保守管理費(事業), ,1900 , , ,1900 , , ,2200 , 
*     6116001  事業-ビル管理費, , , , , , , , , ,*     6116001  事業-ビル管理費, , , , , , , , , ,*     6116001  事業-ビル管理費, ,1900 , ,5700 ,1900 ,300 , ,2200 , ,*     6116001  事業-ビル管理費, ,1900 , , ,1900 , , ,2200 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,1900 , ,5700 ,1900 ,300 , ,2200 , ,      CNY  中国元, ,1900 , , ,1900 , , ,2200 , 
**    雑費(事業),, ,,, ,,, ,,**    雑費(事業),, ,,, ,,, ,,**    雑費(事業),,12398 ,,,12398 ,,,12398 ,,**    雑費(事業),,12398 ,,,12398 ,,,12398 ,
*     6117005  事業-郵便運送費, , , , , , , , , ,*     6117005  事業-郵便運送費, , , , , , , , , ,*     6117005  事業-郵便運送費, ,11984 , ,28554 ,11984 ,238 ,33638 ,11984 ,281 ,*     6117005  事業-郵便運送費, ,11984 , , ,11984 , , ,11984 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,11984 , ,28554 ,11984 ,238 ,33638 ,11984 ,281 ,      CNY  中国元, ,11984 , , ,11984 , , ,11984 , 
*     6117099  事業-雑費一般,, ,,, ,,, ,,*     6117099  事業-雑費一般,, ,,, ,,, ,,*     6117099  事業-雑費一般,,414 ,,,414 ,,,414 ,,*     6117099  事業-雑費一般,,414 ,,,414 ,,,414 ,
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,414 , ,160 ,414 ,39 ,60 ,414 ,14 ,      CNY  中国元, ,414 , , ,414 , , ,414 , 
