損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元,10255 ,19508 ,53 ,9612 ,19508 ,49 ,10364 ,19508 ,53 ,      CNY  中国元,8688 ,19508 ,45 ,5342 ,19508 ,27 ,10433 ,19508 ,53 ,      CNY  中国元,6998 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    一般消耗品費(事業),2093 ,5304 ,39 ,2467 ,5304 ,47 ,2447 ,5304 ,46 ,**    一般消耗品費(事業),69032 ,5304 ,1302 ,(62694),5304 ,(1182),11061 ,5304 ,209 ,**    一般消耗品費(事業),2301 , , , , , , , , ,**    一般消耗品費(事業), , , , , , , , , 
*     6114901  事業-一般消耗品費,2093 ,3804 ,55 ,2467 ,3804 ,65 ,2447 ,3804 ,64 ,*     6114901  事業-一般消耗品費,69032 ,3804 ,1815 ,(62694),3804 ,(1648),6240 ,3804 ,164 ,*     6114901  事業-一般消耗品費,2301 , , , , , , , , ,*     6114901  事業-一般消耗品費, , , , , , , , , 
      CNY  中国元,2093 ,3804 ,55 ,2467 ,3804 ,65 ,2447 ,3804 ,64 ,      CNY  中国元,69032 ,3804 ,1815 ,(62694),3804 ,(1648),6240 ,3804 ,164 ,      CNY  中国元,2301 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, ,1500 , , ,1500 , , ,1500 , ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, ,1500 , , ,1500 , ,4821 ,1500 ,321 ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, , , , , , , , , ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, , , , , , , , , 
      CNY  中国元, ,1500 , , ,1500 , , ,1500 , ,      CNY  中国元, ,1500 , , ,1500 , ,4821 ,1500 ,321 ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    補修維持費(事業), ,1934 , , ,1934 , , ,1934 , ,**    補修維持費(事業), ,1934 , ,518 ,1934 ,27 ,918 ,1934 ,47 ,**    補修維持費(事業),1090 , , , , , , , , ,**    補修維持費(事業), , , , , , , , , 
*     6115001  事業-補修維持費, ,334 , , ,334 , , ,334 , ,*     6115001  事業-補修維持費, ,334 , , ,334 , , ,334 , ,*     6115001  事業-補修維持費, , , , , , , , , ,*     6115001  事業-補修維持費, , , , , , , , , 
      CNY  中国元, ,334 , , ,334 , , ,334 , ,      CNY  中国元, ,334 , , ,334 , , ,334 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6115005  事業-ｼｽﾃﾑ補修維持費, ,1600 , , ,1600 , , ,1600 , ,*     6115005  事業-ｼｽﾃﾑ補修維持費, ,1600 , ,518 ,1600 ,32 ,918 ,1600 ,57 ,*     6115005  事業-ｼｽﾃﾑ補修維持費,1090 , , , , , , , , ,*     6115005  事業-ｼｽﾃﾑ補修維持費, , , , , , , , , 
